Time,Link,Text,Hashtags,User,Favorites,Following,Followers,Retweets,Urls,UrlTitle,UrlDesc,UrlImg,ImageUrls,ReplyURL,QuoteID,QuoteText,QuoteImg,QuoteUrl
2020-10-29 19:03:15,https://twitter.com/EoutletIiw/status/1321890356489641984,#IIW #E-Outlet #Jointherevolution #UNASHAMEDLYCOMMERCIAL   ARE YOU READY ?? Only for women Entrepreneurs!! Need support from British Indians to spread the word ! #Vocal4local https://t.co/UzvpD7Jv6N,"['IIW', 'E', 'Jointherevolution', 'UNASHAMEDLYCOMMERCIAL', 'Vocal4local']",EoutletIiw,0,23,7,0,[],[],[],[],['https://pbs.twimg.com/ext_tw_video_thumb/1321890295902990337/pu/img/MDnqdONjNcHe-tey.jpg'],,,,[''],['']
2020-10-29 19:01:59,https://twitter.com/inspiringiwomen/status/1321890040096591872,#IIW #E-Outlet #Jointherevolution #UNASHAMEDLYCOMMERCIAL   ARE YOU READY ?? Only for women Entrepreneurs!! Need support from British Indians to spread the word ! #Vocal4local https://t.co/zw4AOdwjKH,"['IIW', 'E', 'Jointherevolution', 'UNASHAMEDLYCOMMERCIAL', 'Vocal4local']",inspiringiwomen,0,588,531,0,[],[],[],[],['https://pbs.twimg.com/ext_tw_video_thumb/1321889977274310657/pu/img/oOePSnQ7tfBnXB4U.jpg'],,,,[''],['']
2020-10-29 18:54:37,https://twitter.com/inspiringiwomen/status/1321888183521546241,#IIW #E-Outlet #Jointherevolution #UNASHAMEDLYCOMMERCIAL   ARE YOU READY ?? Only for women Entrepreneurs!! Need support from British Indians to spread the word ! #Vocal4local https://t.co/PB2YkZFeMN,"['IIW', 'E', 'Jointherevolution', 'UNASHAMEDLYCOMMERCIAL', 'Vocal4local']",inspiringiwomen,0,588,531,0,['https://www.instagram.com/p/CG8DAnXnOZz/?igshid=19jpuhorpewoh'],['\nLogin • Instagram\n'],"['Welcome back to Instagram. Sign in to check out what your friends, family & interests have been capturing & sharing around the world.']",[None],[],,,,[''],['']
2020-10-29 18:52:34,https://twitter.com/inspiringiwomen/status/1321887670818213889,#IIW #E-Outlet #Jointherevolution #UNASHAMEDLYCOMMERCIAL   ARE YOU READY ?? Only for women Entrepreneurs!! Need support from British Indians to spread the word ! #Vocal4local https://t.co/54qDyNvIXp,"['IIW', 'E', 'Jointherevolution', 'UNASHAMEDLYCOMMERCIAL', 'Vocal4local']",inspiringiwomen,0,588,531,0,['https://www.instagram.com/p/CG8CwN1n2fm/?igshid=1tf11ugpjq4f7'],['\nLogin • Instagram\n'],"['Welcome back to Instagram. Sign in to check out what your friends, family & interests have been capturing & sharing around the world.']",[None],[],,,,[''],['']
2020-10-29 15:20:24,https://twitter.com/windley/status/1321834275696594944,Great review of sessions and topics at #iiw 31 from @dschmudde. https://t.co/V1jgWAmVew,['iiw'],windley,2,3589,6748,2,['https://schmud.de/posts/2020-10-24-iiw31.html'],['Internet Identity Workshop XXXI'],['A recap of the ideas and technology that will shape the future of our internet identity - from cautious optimism to dystopic warnings.'],['http://schmud.de/img/2020-10-24-iiw31/self-portrait-w-straw-hat-van-gogh-1887.jpg'],[],,,,[''],['']
2020-10-26 21:15:08,https://twitter.com/TheKaryl/status/1320836384945508355,"It’s always a lovely time co-presenting w/ you @by_caballero ! 

Thanks for staying up so late for #IIW 💜 https://t.co/6ITwVtNPMz",['IIW'],TheKaryl,3,1493,897,0,['https://twitter.com/by_caballero/status/1320483544729268234'],[],[],[],[],,https://twitter.com/by_caballero/status/1320483544729268234,"Here is a video of me and @TheKaryl explaining what Decentralized Identity is at #IIW31 @idworkshop. 
https://t.co/1cFSLKXW8r",[''],"['', 'https://www.youtube.com/watch?v=DaM0UtQTLCs']"
2020-10-26 16:07:46,https://twitter.com/windley/status/1320759034358628352,"At the end of the closing session for #IIW 31, @VicACooper invited a bunch of us to dogtown, the virtual IIW space. It was great fun &amp; I was surprised at what he’d set up. Here’s the reimagined IIW opens space laws reimagined. We’ll be doing more of this at 32, so get ready! https://t.co/C7UZyKC3vq",['IIW'],windley,1,3589,6748,1,[],[],[],[],['https://pbs.twimg.com/media/ElRHOUuVMAEMrE_.png'],,,,[''],['']
2020-10-26 12:49:05,https://twitter.com/AKASHAorg/status/1320709033276440582,"When @Sheldrake introduced the idea of 'generativity' in identity last year, it didn't go down well.  ❌

Fast forward a year, and in a plot twist he was invited to speak at @idworkshop's #IIW on the very subject. 💡

Read more in our latest article 👇 https://t.co/U2UVpJcrRa https://t.co/Aj4t907ukU",['IIW'],AKASHAorg,1,6,370,2,['https://akasha.org/blog/2020/10/23/lets-get-generative'],"[""Let's get generative""]",['The  Internet Identity Workshop  convened its 31st biannual gathering this week. Being a Zoom-based…'],['https://akasha.org/static/5e0d2fb3d60e20ae18d23beefebddf55/e4796/header.png'],['https://pbs.twimg.com/media/ElQZ3Y9WkAUNM-N.jpg'],,,,[''],['']
2020-10-24 18:43:15,https://twitter.com/dschmudde/status/1320073385024622592,"This week's Internet Identity Workshop showed a path forward for online identity. My recap, highlighting the work of @by_caballero, @NickyHickman11, @me2balliance, @rileyphughes, @agropper, @_jenral_, @Sheldrake, and @MaryHodder. Inspiring stuff! https://t.co/EPPJQRG0wF #iiw",['iiw'],dschmudde,4,1013,1316,1,['https://schmud.de/posts/2020-10-24-iiw31.html'],['Internet Identity Workshop XXXI'],['A recap of the ideas and technology that will shape the future of our internet identity - from cautious optimism to dystopic warnings.'],['http://schmud.de/img/2020-10-24-iiw31/self-portrait-w-straw-hat-van-gogh-1887.jpg'],[],,,,[''],['']
2020-10-24 14:58:54,https://twitter.com/NZN/status/1320016924110163969,"The ""Laws of Identity"" were fundamentally flawed, as was #IDpro work generally. #iiw

Self-Sovereign Human Authority, expressed via #ID fixes flaw.

Make no mistake... thinking flaws lead to execution flaws.

Deprecate #EmployeeBrains, #OwnRoot People.","['IDpro', 'iiw', 'ID', 'EmployeeBrains', 'OwnRoot']",NZN,1,80,642,1,[],[],[],[],[],,,,[''],['']
