Time,Link,Text,Hashtags,User,Favorites,Following,Followers,Retweets,Urls,UrlTitle,UrlDesc,UrlImg,ImageUrls,ReplyURL
2020-10-21 17:56:21,https://twitter.com/ArcBlock_io/status/1318974418983383040,"One of the things that #developers love is @ArcBlock_io's complete integration of #decentralizedidentity into the #DApp #platform. Each time a new #dev environment is launched, the node is assigned a unique #DID address. Try it yourself: https://t.co/dQrqp9WT0f https://t.co/ehop3usD18","['developers', 'decentralizedidentity', 'DApp', 'platform', 'dev', 'DID']",ArcBlock_io,10,68,34463,2,['https://medium.com/arcblock/official-guide-to-getting-started-with-arcblocks-developer-platform-abt-node-e3881c398e83'],['Official Guide to Getting Started with ArcBlock’s Developer Platform ABT Node'],['ABT node 1.0 has been officially released. This article is a quick how-to guide to help developers get started ArcBlock’s blockchain and…'],['https://miro.medium.com/max/1200/1*sdJF2VeESpvgB6kgD0Kamw.jpeg'],['https://pbs.twimg.com/media/Ek3wPLaUYAEesmV.png'],
2020-10-27 08:15:05,https://twitter.com/Blockdotco/status/1321002464917753858,"Decentralized Identity it’s a publicly discoverable #identity 🆔 information. It uses #blockchain technology to provide tamper-evident #information about an entity or a subject.

Read more here ✅ https://t.co/YbFYLhmKlx

#decentralizedidentity #platform #technology","['identity', 'blockchain', 'information', 'decentralizedidentity', 'platform', 'technology']",Blockdotco,1,1462,1650,2,['http://ow.ly/fUU050BZoth'],['The Story of Decentralized Identity'],"[""What is a decentralized identity? To put it simply, it's a publicly discoverable identity information.""]",['https://miro.medium.com/max/420/1*XsINUuhkydc5amEnVthwzg.jpeg'],[],
2020-10-22 09:00:01,https://twitter.com/CondatisUK/status/1319201833441742849,"Missed our #webinar on getting started with #selfsovereignidentity or want to watch it again? We've got you covered -   view it here: https://t.co/JM0gsS6Mbe
Follow the link in the video description to get your ticket for the next one!","['webinar', 'selfsovereignidentity']",CondatisUK,0,418,166,0,['https://bit.ly/3ofWfqH'],['Getting started with self-sovereign identity (SSI)'],"['What does next-generation identity look like? In this video we introduce self-sovereign identity (SSI). SSI is next-gen identity. In this webinar series, our...']",['https://i.ytimg.com/vi/j-aqCcQgpUw/maxresdefault.jpg'],[],
2020-10-21 11:45:01,https://twitter.com/CondatisUK/status/1318880969852637185,"It’s almost time for our first introductory #webinar on #Selfsovereignidentity! Join our experts Richard Astley and @mvuorinen ⏰ 3 pm BST 

Get your free ticket 👉 https://t.co/nsFQK8KxYk","['webinar', 'Selfsovereignidentity']",CondatisUK,1,418,166,1,['https://bit.ly/2TdaSwv'],['Getting started with self-sovereign identity (SSI)'],['What does next-generation identity look like? Save the date 18 November as we continue our series on self-sovereign identity (SSI).'],['https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F112507271%2F467733103117%2F1%2Foriginal.20200924-082600?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1280%2C640&s=b8b0764d06a7d73b5fd418d7db29d280'],[],
2020-10-26 15:41:24,https://twitter.com/debimr75/status/1320752395543040000,"1st issued in 450 BC as “safe travel” letter by King Artaxerxes Persia
With no standard way of issuing holding &amp; verifying digital #credentials was ""A Chasm of Chaos""
#SelfSovereignIdentity is coined for secure controllable &amp; portable #digitalidentity #SSI
https://t.co/RmekEfZB1j https://t.co/P2GLSYZrmy","['credentials', 'SelfSovereignIdentity', 'digitalidentity', 'SSI']",debimr75,3,455,3059,0,['https://www.evernym.com/blog/inevitable-return-self-sovereign-identity/'],['The Inevitable Return to Self-Sovereign Identity - Evernym'],"['While self-sovereign identity is often perceived as the ""next big thing,"" it merely marks the return to how identity was and always should be managed.']",['https://www.evernym.com/wp-content/uploads/2019/03/old-passport.jpg'],['https://pbs.twimg.com/media/ElRAABxXYAIBqwc.jpg'],
2020-10-24 17:13:47,https://twitter.com/debimr75/status/1320050871233818629,"HPEC will give each physician #selfsovereignidentity attached to digital wallet to hold verified credentials &amp; Health Records
@HPECid helps
Physician to Physician Communication
Patient Communication &amp; Health Records
https://t.co/4OBPxQ3R7g
#healthcare https://t.co/9jZfK703D8","['selfsovereignidentity', 'healthcare']",debimr75,2,455,3059,0,['https://hpec.io/how-it-works/'],['How it Works'],"['We will start with IDENTITY HPEC will give each physician a self-sovereign digital identity attached to a digital asset wallet that holds the physician’s credentials. The credentials will be portable, and validated and authenticated digitally by the respective credentialing institution. HPEC will give physicians sovereign control over their digital identity, professional brand along with the…']",[None],['https://pbs.twimg.com/media/ElHCRJhWAAYpHlD.jpg'],
2020-10-22 14:35:15,https://twitter.com/debimr75/status/1319286199412871171,"Learning #decentralizedidentity tricky in terms of complexity &amp; governance
If “Web Standards” is L1
“Auth Standards” L2
“Open Source Blockchain” L3
Then #DID is Level 4
Stay tuned to know how Govts across🌎using #SSI for simpler safer &amp; faster ecosystem in future
#digitalidentity https://t.co/rf3B1NGYAO","['decentralizedidentity', 'DID', 'SSI', 'digitalidentity']",debimr75,3,455,3059,0,[],[],[],[],['https://pbs.twimg.com/media/Ek8KwM3VgAosiL_.jpg'],
2020-10-25 18:29:29,https://twitter.com/dwebchap/status/1320432308508336128,"By Decentralized Identity user own their data and identity, selectively disclose only relevant information. Checkout @RubixChain project on building the identity layer for the internet 
https://t.co/Ql3nRV8aTj #selfsovereignidentity #BYOI","['selfsovereignidentity', 'BYOI']",dwebchap,2,92,21,0,['https://github.com/rubixchain/rubixdid'],['rubixchain/rubixdid'],"['Rubix Decentralized IDentity(DID) project is an open standard enabling users to create self-owned identities, and use blockchain network for getting decentralized tamper proof verifiable claims. Th...']",['https://avatars3.githubusercontent.com/u/63297852?s=400&v=4'],[],https://twitter.com/1119701484373823488/1320428520246550535
2020-10-28 12:11:36,https://twitter.com/IndicioID/status/1321424375040647171,"Looking for a stable #decentralizedidentity network to test on, demo from, or build on? 

Please meet the Indicio TestNet.

#selfsovereignidentity #SSI #digital_ID #digitalcredentials #verifiablecredentials #opensource #hyperledgerindy #indy #Aries
https://t.co/k5tRUCorfa","['decentralizedidentity', 'selfsovereignidentity', 'SSI', 'digital_ID', 'digitalcredentials', 'verifiablecredentials', 'opensource', 'hyperledgerindy', 'indy', 'Aries']",IndicioID,1,211,169,0,['https://indicio.tech/blog/helping-the-community-with-the-indicio-testnet/'],['Helping the community with the Indicio TestNet | Indicio Tech'],['At Indicio.tech we’re creating a stable home for the growth of decentralized identity'],['https://indicio.tech/wp-content/uploads/Happydiverseteam.jpg'],[],
2020-10-24 12:58:03,https://twitter.com/IndicioID/status/1319986512851775488,"“Implementation [of #decentralizedidentity] is frustrated because implementation requires a lot more than a wallet. It requires a fully functional, seamless ecosystem to seed adoption.”

Wallets are one small piece of the #selfsovereignidentity puzzle 🧩  https://t.co/JMikWzbo8b","['decentralizedidentity', 'selfsovereignidentity']",IndicioID,2,211,169,2,['https://indicio.tech/blog/moving-decentralized-identity-beyond-wallet-mania/'],['Moving decentralized identity beyond Wallet Mania | Indicio Tech'],[None],['https://indicio.tech/wp-content/uploads/Walletmania.jpg'],[],
2020-10-21 01:24:26,https://twitter.com/IndicioID/status/1318724795262029831,"“The only question is what to we need to do to give an an emerging technology the velocity required for it to be easily usable?”

🚀

#IIW #IIW31 #decentralizedidentity #selfsovereignidentity #ssi #opensourcetechnology #opensource  https://t.co/egDl4q7Ux8","['IIW', 'IIW31', 'decentralizedidentity', 'selfsovereignidentity', 'ssi', 'opensourcetechnology', 'opensource']",IndicioID,3,211,169,1,['https://indicio.tech/blog/three-things-that-will-launch-decentralized-identity-into-commercial-reality/'],['Three things that will launch decentralized identity into commercial reality | Indicio Tech'],"['Decentralized identity is the solution to critical challenges in managing identity online. Getting these solutions to market requires focusing on the three Es: Ecosystem, Evolution, and Execution.']",['https://indicio.tech/wp-content/uploads/rocket.jpg'],[],
2020-10-28 12:11:36,https://twitter.com/IndicioID/status/1321424375040647171,"Looking for a stable #decentralizedidentity network to test on, demo from, or build on? 

Please meet the Indicio TestNet.

#selfsovereignidentity #SSI #digital_ID #digitalcredentials #verifiablecredentials #opensource #hyperledgerindy #indy #Aries
https://t.co/k5tRUCorfa","['decentralizedidentity', 'selfsovereignidentity', 'SSI', 'digital_ID', 'digitalcredentials', 'verifiablecredentials', 'opensource', 'hyperledgerindy', 'indy', 'Aries']",IndicioID,1,211,169,0,['https://indicio.tech/blog/helping-the-community-with-the-indicio-testnet/'],['Helping the community with the Indicio TestNet | Indicio Tech'],['At Indicio.tech e’re creating a stable home for the growth of decentralized identity'],['https://indicio.tech/wp-content/uploads/Happydiverseteam.jpg'],[],
2020-10-27 19:26:32,https://twitter.com/IndicioID/status/1321171440750809088,@FedBlockNews @dhsscitech @trinsic_id @JeffDStephens Thanks for the shoutout. We’d love to talk #decentralizedidentity anytime. Will DM 👍,['decentralizedidentity'],IndicioID,2,211,169,0,[],[],[],[],[],https://twitter.com/1300859324823212041/1321165537532125184
2020-10-26 13:41:24,https://twitter.com/IndicioID/status/1320722196780777478,"A great opportunity to see the latest creations coming out of the wild world of digital wallets. Thanks @dhsscitech for bringing together such a great group! 

Can’t wait to present what we’ve got cooking. #elegance #Ux #UI #decentralizedidentity #opensource https://t.co/T2ORsEOvBM","['elegance', 'Ux', 'UI', 'decentralizedidentity', 'opensource']",IndicioID,6,211,169,3,['https://twitter.com/dhsscitech/status/1319356614483259392'],[None],"[""We've detected that JavaScript is disabled in your browser. Would you like to proceed to legacy Twitter?""]",[None],[],
